"","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$"
"Israel","859.06","731.78","716.39","703.08","693.99","639.31","598.68","647.99","607.40","564.18","581.15","533.49","517.60","539.52","472.63","400.86","457.36","414.55","397.92","379.21","459.43","433.98"
"Italy","733.37","657.09","682.86","707.18","668.88","629.67","627.89","710.97","699.96","681.59","747.16","661.20","689.70","747.75","665.40","603.86","578.51","585.80","513.05","425.22","388.36","403.38"
"Jamaica","48.72","47.85","56.40","56.02","54.32","51.35","54.18","55.21","49.64","57.01","60.74","60.14","52.62","85.62","78.55","54.01","55.65","50.57","51.90","47.10","69.38","57.66"
"Japan","522.90","529.61","575.84","557.21","524.97","539.85","486.17","530.43","553.48","679.16","670.12","593.65","560.70","491.47","431.82","454.17","453.78","479.08","448.13","386.01","393.45","438.69"
"Jordan","112.01","106.79","105.92","102.25","98.45","92.02","89.06","64.09","71.02","74.02","70.72","69.90","75.82","92.63","79.09","78.23","78.74","75.72","72.40","69.24","66.11","63.04"
"Kazakhstan","100.87","93.86","91.44","91.24","92.14","92.70","100.88","89.11","94.29","102.76","73.11","66.50","56.36","61.49","58.03","54.07","48.99","45.44","33.17","26.65","21.49","24.23"
"Kenya","21.56","20.08","20.91","17.68","15.55","18.57","19.18","21.39","21.81","20.45","17.71","17.78","17.42","18.54","18.02","15.79","14.00","12.27","11.57","9.90","10.20","10.02"
"Kiribati","1.75","1.63","1.12","1.22","1.27","1.25","1.29","0.78","0.85","0.93","0.94","0.85","0.74","0.00","0.00","0.00","0.16","0.13","0.12","0.10","0.09","0.10"
"Kuwait","173.19","148.83","176.20","176.85","175.99","169.83","169.22","175.63","172.13","178.89","160.21","150.55","171.53","211.89","188.08","166.23","156.26","140.24","130.93","125.36","109.69","109.51"
"Kyrgyzstan","29.62","29.24","29.12","31.04","43.88","41.53","44.02","53.23","48.74","43.16","34.54","26.18","23.06","30.54","21.36","17.59","15.02","12.45","11.26","7.58","6.97","6.33"
"Lao People's Democratic Republic","21.31","21.42","28.37","27.84","28.48","25.32","23.66","23.21","21.22","15.81","14.29","12.44","9.62","8.41","8.66","7.92","7.60","7.69","9.65","6.42","6.36","6.32"
"Latvia","512.31","421.45","416.78","433.35","391.71","380.03","314.51","335.05","310.51","281.98","262.23","256.24","288.80","340.80","285.49","196.61","183.78","159.80","136.22","112.91","100.15","86.53"
"Lebanon","106.62","158.36","240.23","262.85","223.98","207.06","189.20","205.13","215.62","222.28","260.08","249.49","223.30","208.93","194.77","180.59","165.40","180.85","196.86","212.80","229.12","246.51"
"Lesotho","16.12","15.62","16.80","18.86","18.10","14.32","16.22","17.08","18.15","20.97","21.87","19.88","15.71","14.99","15.59","14.68","14.15","12.88","10.35","6.98","8.02","9.44"
"Liberia","27.71","26.60","28.32","31.50","33.48","31.98","31.97","29.32","19.20","22.94","25.77","27.05","25.99","9.25","6.75","12.90","14.27","13.71","3.66","3.93","4.12","6.14"
"Libya","","","","","","","","","","","114.72","114.18","106.54","100.82","90.28","80.12","74.45","69.31","64.93","61.28","119.27","130.44"
"Lithuania","560.51","435.76","442.10","393.64","353.04","319.46","292.97","321.61","314.73","285.23","261.18","222.17","231.90","263.85","200.05","170.76","143.88","120.80","81.94","65.12","60.36","58.97"
"Luxembourg","682.10","571.15","598.59","652.23","610.91","589.92","582.98","727.27","713.20","692.64","780.66","763.28","759.03","762.54","687.64","812.04","752.18","716.77","610.72","499.14","424.64","413.45"
